year,day,stars,position,time
2016,2,2,45,829
2016,2,2,46,830
2016,2,2,47,841
2016,2,2,48,850
2016,2,2,49,855
2016,2,2,50,867
2016,2,2,51,868
2016,2,2,52,868
2016,2,2,53,870
2016,2,2,54,880
2016,2,2,55,888
2016,2,2,56,894
2016,2,2,57,894
2016,2,2,58,903
2016,2,2,59,909
2016,2,2,60,919
2016,2,2,61,925
2016,2,2,62,930
2016,2,2,63,936
2016,2,2,64,937
2016,2,2,65,941
2016,2,2,66,943
2016,2,2,67,944
2016,2,2,68,955
2016,2,2,69,966
2016,2,2,70,966
2016,2,2,71,968
2016,2,2,72,976
2016,2,2,73,985
2016,2,2,74,988
2016,2,2,75,1006
2016,2,2,76,1014
2016,2,2,77,1018
2016,2,2,78,1024
2016,2,2,79,1032
2016,2,2,80,1045
2016,2,2,81,1056
2016,2,2,82,1056
2016,2,2,83,1056
2016,2,2,84,1060
2016,2,2,85,1069
2016,2,2,86,1070
2016,2,2,87,1071
2016,2,2,88,1079
2016,2,2,89,1091
2016,2,2,90,1096
2016,2,2,91,1109
2016,2,2,92,1111
2016,2,2,93,1116
2016,2,2,94,1118
2016,2,2,95,1119
2016,2,2,96,1122
2016,2,2,97,1133
2016,2,2,98,1141
2016,2,2,99,1146
2016,2,2,100,1150
2016,2,1,1,143
2016,2,1,2,165
2016,2,1,3,185
2016,2,1,4,203
2016,2,1,5,226
2016,2,1,6,226
2016,2,1,7,228
2016,2,1,8,250
2016,2,1,9,250
2016,2,1,10,263
2016,2,1,11,275
2016,2,1,12,275
2016,2,1,13,276
2016,2,1,14,279
2016,2,1,15,279
2016,2,1,16,281
2016,2,1,17,296
2016,2,1,18,298
2016,2,1,19,303
2016,2,1,20,318
2016,2,1,21,319
2016,2,1,22,321
2016,2,1,23,321
2016,2,1,24,327
2016,2,1,25,332
2016,2,1,26,334
2016,2,1,27,334
2016,2,1,28,349
2016,2,1,29,350
2016,2,1,30,356
2016,2,1,31,358
2016,2,1,32,373
2016,2,1,33,374
2016,2,1,34,375
2016,2,1,35,380
2016,2,1,36,381
2016,2,1,37,383
2016,2,1,38,384
2016,2,1,39,389
2016,2,1,40,400
2016,2,1,41,402
2016,2,1,42,405
2016,2,1,43,405
2016,2,1,44,412
2016,2,1,45,412
2016,2,1,46,422
2016,2,1,47,427
2016,2,1,48,433
2016,2,1,49,434
2016,2,1,50,440
2016,2,1,51,444
2016,2,1,52,451
2016,2,1,53,451
2016,2,1,54,451
2016,2,1,55,452
2016,2,1,56,457
2016,2,1,57,459
2016,2,1,58,460
2016,2,1,59,462
2016,2,1,60,464
2016,2,1,61,468
2016,2,1,62,474
2016,2,1,63,483
2016,2,1,64,491
2016,2,1,65,495
2016,2,1,66,497
2016,2,1,67,498
2016,2,1,68,500
2016,2,1,69,503
2016,2,1,70,506
2016,2,1,71,508
2016,2,1,72,508
2016,2,1,73,511
2016,2,1,74,517
2016,2,1,75,522
2016,2,1,76,531
2016,2,1,77,532
2016,2,1,78,533
2016,2,1,79,534
2016,2,1,80,541
2016,2,1,81,543
2016,2,1,82,544
2016,2,1,83,545
2016,2,1,84,547
2016,2,1,85,549
2016,2,1,86,551
2016,2,1,87,556
2016,2,1,88,557
2016,2,1,89,559
2016,2,1,90,562
2016,2,1,91,563
2016,2,1,92,564
2016,2,1,93,567
2016,2,1,94,568
2016,2,1,95,568
2016,2,1,96,570
2016,2,1,97,570
2016,2,1,98,581
2016,2,1,99,588
2016,2,1,100,588
2016,3,2,1,166
2016,3,2,2,239
2016,3,2,3,244
2016,3,2,4,253
2016,3,2,5,267
2016,3,2,6,269
2016,3,2,7,286
2016,3,2,8,297
2016,3,2,9,301
2016,3,2,10,314
2016,3,2,11,333
2016,3,2,12,335
2016,3,2,13,339
2016,3,2,14,344
2016,3,2,15,349
2016,3,2,16,359
2016,3,2,17,363
2016,3,2,18,364
2016,3,2,19,370
2016,3,2,20,371
2016,3,2,21,372
2016,3,2,22,376
2016,3,2,23,377
2016,3,2,24,380
2016,3,2,25,381
2016,3,2,26,386
2016,3,2,27,390
2016,3,2,28,391
2016,3,2,29,403
2016,3,2,30,403
2016,3,2,31,415
2016,3,2,32,421
2016,3,2,33,423
2016,3,2,34,423
2016,3,2,35,433
2016,3,2,36,448
2016,3,2,37,450
2016,3,2,38,467
2016,3,2,39,469
2016,3,2,40,470
2016,3,2,41,471
2016,3,2,42,475
2016,3,2,43,476
2016,3,2,44,484
2016,3,2,45,495
2016,3,2,46,498
2016,3,2,47,498
2016,3,2,48,499
2016,3,2,49,500
2016,3,2,50,500
2016,3,2,51,503
2016,3,2,52,522
2016,3,2,53,528
2016,3,2,54,531
2016,3,2,55,534
2016,3,2,56,537
2016,3,2,57,542
2016,3,2,58,543
2016,3,2,59,543
2016,3,2,60,551
2016,3,2,61,552
2016,3,2,62,554
2016,3,2,63,555
2016,3,2,64,560
2016,3,2,65,562
2016,3,2,66,562
2016,3,2,67,563
2016,3,2,68,571
2016,3,2,69,574
2016,3,2,70,575
2016,3,2,71,577
2016,3,2,72,588
2016,3,2,73,606
2016,3,2,74,608
2016,3,2,75,610
2016,3,2,76,622
2016,3,2,77,630
2016,3,2,78,633
2016,3,2,79,646
2016,3,2,80,647
2016,3,2,81,649
2016,3,2,82,651
2016,3,2,83,654
2016,3,2,84,658
2016,3,2,85,663
2016,3,2,86,669
2016,3,2,87,675
2016,3,2,88,682
2016,3,2,89,683
2016,3,2,90,692
2016,3,2,91,700
2016,3,2,92,701
2016,3,2,93,702
2016,3,2,94,710
2016,3,2,95,713
2016,3,2,96,714
2016,3,2,97,719
2016,3,2,98,720
2016,3,2,99,724
2016,3,2,100,727
2016,3,1,1,54
